horizon,model,framing,scheme,blend_w,params,cv_MAE,test_MAE,test_RMSE,test_MAPE,test2024_MAE,test2024_RMSE,test2024_MAPE,test2025_MAE,test2025_RMSE,test2025_MAPE,frozen_test_MAE
1,LightGBM,level,decay,0.25,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",63.869833958179704,54.03215500123091,71.41388134122346,12.50363365659145,55.11006436774278,73.29694082716004,13.731837147864967,52.77459407363369,69.1522005970611,11.070729583439011,96.9252848143696
1,LightGBM,level,decay,0.5,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",89.68311778231858,58.579055290350205,78.04385983442255,13.632978804679336,69.53562634906929,88.32176523256427,17.01035202852855,45.79638905517797,63.999782884451385,9.69271004352192,88.30663485938473
1,LightGBM,level,window,0.0,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",51.74060113050808,53.38658697983218,68.76690383751269,12.80748597229781,44.24179804513322,60.86452266317775,11.851948069409483,64.05550740364764,76.96763496329156,13.922280192334188,108.23879767785115
1,LightGBM,level,window,0.25,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",65.35000086837302,53.12820929797681,69.8501994666311,12.294701736278004,52.285289176849375,71.44264235711985,12.81964266995747,54.1116161059588,67.94519448680022,11.682270646985291,96.82742233427825
1,LightGBM,level,window,0.5,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",90.37810495527333,58.426241861243334,77.26849757799154,13.511668856929186,68.21342075301659,87.24687046754562,16.473449613344663,47.00786648750788,63.68065442609753,10.056257974444463,88.18078569336924
1,LightGBM,logratio,expand,0.0,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",53.35706870347463,64.7318433523133,83.081839006714,15.17880952255775,45.42477989381495,57.15463463604633,12.727242589754217,87.25675072056141,105.56761642262622,18.03897094416188,68.90009122787778
1,LightGBM,logratio,expand,0.25,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",65.4530437085853,59.88890631728573,75.60974996593482,13.97811185221057,51.71207818552182,66.25520856622121,13.467570937593038,69.42853913767695,85.23553360519217,14.573742919264351,66.02238995353238
1,LightGBM,logratio,expand,0.5,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",88.51513449242407,62.83242196240887,78.04345265775711,14.797708648157249,70.69359712500521,84.5431492553634,17.699247407062227,53.66105093937982,69.69856279432155,11.412580096101447,68.56188499275368
1,LightGBM,logratio,decay,0.0,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",43.86089119910749,61.997367214424735,79.62193129506625,14.561674351650689,50.690713704827175,62.09013245147684,13.684243649838171,75.1884629756219,96.11554108306113,15.585343503765298,69.43920516026431
1,LightGBM,logratio,decay,0.25,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",58.51865688288734,56.6982792657261,73.0896775770498,13.39866478696639,52.5960932362892,67.1167800324971,13.838713927584987,61.484162966735795,79.49284816322371,12.885274122911362,67.90168482366997
1,LightGBM,logratio,decay,0.5,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",83.81402647723137,60.41301314115975,76.63293083748073,14.331149340920984,68.75113518861362,83.70478247181082,17.38849059706457,50.685204085796926,67.45176658555751,10.76425120875346,70.29525099914684
1,LightGBM,logratio,window,0.0,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",54.15374092618712,54.109521481106086,69.78821183145156,12.669839131253696,41.92103245915884,56.091066484853066,11.249609386612514,68.32942534004455,82.95749359597035,14.326773833335077,55.9684222980373
