year,week,nasa_rain_sum,nasa_rain_mean,nasa_rain_max_daily,nasa_wet_days,temp_c_mean,temp_c_max,humidity_pct_mean
2022,45,0.07,0.01,0.07,0,14.75,15.7,73.78857142857143
2022,46,0.0,0.0,0.0,0,15.03,16.49,70.99285714285715
2022,47,0.0,0.0,0.0,0,14.34,15.08,68.16142857142857
2022,48,0.0,0.0,0.0,0,13.541428571428572,14.1,67.00571428571429
2022,49,0.0,0.0,0.0,0,13.007142857142856,13.89,68.47
2022,50,0.01,0.0014285714285714286,0.01,0,12.584285714285715,13.3,66.25285714285714
2022,51,0.0,0.0,0.0,0,9.971428571428572,12.13,66.7957142857143
2022,52,0.0,0.0,0.0,0,10.807142857142859,12.66,46.527142857142856
2023,1,0.0,0.0,0.0,0,11.577142857142857,12.6,53.79714285714285
2023,2,0.0,0.0,0.0,0,10.778571428571428,13.05,56.25714285714286
2023,3,0.0,0.0,0.0,0,14.540000000000001,15.32,48.50857142857143
2023,4,0.0,0.0,0.0,0,13.947142857142856,15.81,47.04714285714285
2023,5,0.0,0.0,0.0,0,13.387142857142857,14.92,53.34571428571429
2023,6,0.0,0.0,0.0,0,14.194285714285714,16.11,41.94142857142857
2023,7,1.68,0.24,1.52,1,16.164285714285715,17.08,43.17857142857143
2023,8,1.44,0.2057142857142857,1.29,1,16.94,18.3,42.48714285714285
2023,9,0.7300000000000001,0.1042857142857143,0.55,0,17.71,19.04,40.825714285714284
2023,10,12.92,1.8457142857142856,6.53,3,17.305714285714284,18.74,54.76857142857143
2023,11,21.61,3.087142857142857,11.44,2,16.357142857142858,19.46,62.722857142857144
2023,12,12.73,1.8185714285714287,7.9,3,17.888571428571428,19.17,44.151428571428575
2023,13,3.21,0.4585714285714286,1.51,2,20.342857142857145,21.41,38.73571428571428
2023,14,0.0,0.0,0.0,0,23.231428571428573,25.06,29.900000000000002
2023,15,7.75,1.1071428571428572,3.28,3,23.99857142857143,25.74,35.31428571428571
2023,16,20.62,2.9457142857142857,7.79,4,20.43285714285714,21.56,49.93285714285714
