year,week,rain_mean_mm,rain_max_mm,rain_std_mm,wet_days,max_daily_mm,n_stations
2022,27,55.364782608695656,150.8,44.45096214006921,4.3478260869565215,58.0,23
2022,28,149.53826086956522,247.10000000000002,52.12347060343388,6.0,103.0,23
2022,29,111.68434782608695,239.4,57.67443547629991,6.260869565217392,88.0,23
2022,30,104.66782608695652,281.7,50.76172188466081,6.086956521739131,86.8,23
2022,31,114.5995652173913,223.8,63.37643873054093,4.173913043478261,136.0,23
2022,32,79.20869565217392,264.3,48.76716996508165,3.391304347826087,73.0,23
2022,33,65.23826086956522,257.6,63.65176892865614,3.217391304347826,162.5,23
2022,34,40.969130434782606,98.6,27.589978073905332,4.3478260869565215,60.0,23
2022,35,79.20478260869565,170.8,32.603862413351806,5.086956521739131,64.5,23
2022,36,71.62391304347825,133.21,24.10805744957679,5.782608695652174,44.6,23
2022,37,38.28913043478261,103.6,26.593998966452336,3.5652173913043477,41.2,23
2022,38,22.98608695652174,116.5,29.883822583028312,1.8695652173913044,41.3,23
2022,39,118.94173913043478,214.5,33.297768510022344,5.086956521739131,78.6,23
2022,40,7.435217391304348,43.5,9.404498860344939,1.434782608695652,17.5,23
2022,41,0.8869565217391304,20.4,4.253694046764324,0.043478260869565216,20.4,23
2022,42,0.0004347826086956522,0.01,0.002085144140570748,0.0,0.01,23
2022,43,0.0,0.0,0.0,0.0,0.0,23
2022,44,0.5347826086956522,12.3,2.564727292902019,0.043478260869565216,12.3,23
2022,45,0.0,0.0,0.0,0.0,0.0,23
2022,46,0.0,0.0,0.0,0.0,0.0,23
2022,47,0.0,0.0,0.0,0.0,0.0,23
2022,48,0.0,0.0,0.0,0.0,0.0,23
2022,49,0.0,0.0,0.0,0.0,0.0,23
2022,50,0.0,0.0,0.0,0.0,0.0,23
2022,51,0.0,0.0,0.0,0.0,0.0,23
2022,52,0.0,0.0,0.0,0.0,0.0,23
2023,1,0.0,0.0,0.0,0.0,0.0,23
2023,2,0.0,0.0,0.0,0.0,0.0,23
2023,3,0.0,0.0,0.0,0.0,0.0,23
2023,4,0.0,0.0,0.0,0.0,0.0,23
2023,5,0.0,0.0,0.0,0.0,0.0,23
2023,6,0.0,0.0,0.0,0.0,0.0,23
2023,7,0.009565217391304347,0.2,0.04161274508320358,0.0,0.2,23
2023,8,9.520434782608696,30.0,8.068197657391345,1.2173913043478262,30.0,23
2023,9,3.290434782608696,17.52,5.614662200039585,0.391304347826087,17.5,23
2023,10,9.860434782608696,25.0,7.202408358737229,1.565217391304348,18.6,23
2023,11,31.211739130434783,55.599999999999994,12.781862025461887,2.347826086956522,48.8,23
2023,12,16.75391304347826,38.519999999999996,9.626487483231989,2.130434782608696,24.5,23
2023,13,12.31086956521739,28.7,6.322326896903097,1.6521739130434783,21.0,23
2023,14,0.5826086956521739,13.4,2.794093148364802,0.043478260869565216,13.4,23
2023,15,3.0656521739130436,56.02,11.593694926783954,0.43478260869565216,37.6,23
2023,16,19.61130434782609,55.1,14.482290534664564,2.6956521739130435,43.0,23
2023,17,30.627826086956524,71.6,12.776464141865677,4.565217391304348,44.0,23
2023,18,1.2017391304347826,9.309999999999999,2.7867407684734395,0.30434782608695654,8.3,23
2023,19,59.62565217391304,127.11,29.520696873101045,5.3478260869565215,68.5,23
2023,20,30.774347826086956,57.1,11.899905204392084,3.347826086956522,35.5,23
2023,21,1.7521739130434784,19.5,4.369436157219351,0.21739130434782608,19.5,23
2023,22,2.7008695652173915,25.610000000000003,5.866693286560759,0.5217391304347826,21.6,23
2023,23,123.95217391304348,231.3,47.58061350406198,5.086956521739131,108.5,23
2023,24,68.41782608695652,96.3,14.124077751556587,5.260869565217392,63.0,23
2023,25,61.97260869565217,122.1,29.795794580839043,5.869565217391305,40.6,23
2023,26,76.7395652173913,137.62,35.77335123934129,4.782608695652174,66.7,23
2023,27,78.89565217391304,172.7,51.710206468011975,4.869565217391305,61.0,23
2023,28,98.18478260869566,188.4,45.31263799924468,6.043478260869565,95.0,23
2023,29,96.32304347826086,204.0,60.06115371661413,5.739130434782608,110.0,23
2023,30,79.36086956521739,206.0,45.77488790642583,4.217391304347826,95.0,23
2023,31,137.56652173913042,194.0,42.99160093539367,6.130434782608695,110.0,23
2023,32,51.19695652173913,202.0,40.82065780891544,2.8260869565217392,107.6,23
2023,33,151.07913043478263,277.0,54.39243771911375,6.608695652173913,102.0,23
2023,34,13.471304347826088,94.0,20.339811008406826,1.5217391304347827,42.0,23
2023,35,45.58826086956522,100.33,23.283737721690862,3.5217391304347827,63.0,23
2023,36,81.06391304347827,217.8,62.800490497442524,3.8260869565217392,105.0,23
2023,37,46.04391304347826,103.50999999999999,33.61037674441014,3.608695652173913,44.0,23
2023,38,18.96217391304348,75.1,23.17177886931384,1.9130434782608696,37.9,23
2023,39,81.44260869565218,242.6,51.76939050138967,4.304347826086956,96.8,23
2023,40,2.7939130434782613,21.8,4.739548059707453,0.5652173913043478,11.3,23
2023,41,6.031739130434782,19.6,4.796757097886705,1.0434782608695652,14.5,23
2023,42,0.3660869565217391,6.3,1.3587719693981526,0.08695652173913043,6.3,23
2023,43,0.8569565217391305,5.6,1.729680566364807,0.21739130434782608,5.6,23
2023,44,0.018695652173913047,0.4,0.08319223892047137,0.0,0.4,23
2023,45,0.0,0.0,0.0,0.0,0.0,23
2023,46,0.0004347826086956522,0.01,0.002085144140570748,0.0,0.01,23
2023,47,0.01391304347826087,0.3,0.06243098956846691,0.0,0.3,23
2023,48,0.002173913043478261,0.03,0.00671262158456362,0.0,0.01,23
2023,49,0.0,0.0,0.0,0.0,0.0,23
2023,50,0.0,0.0,0.0,0.0,0.0,23
2023,51,0.0,0.0,0.0,0.0,0.0,23
